Sample_Index,Y_Encoded,Y_Label
214,1,EGFR
215,1,EGFR
216,3,Triple-Negative
217,1,EGFR
218,2,KRAS
219,2,KRAS
220,2,KRAS
221,1,EGFR
222,1,EGFR
223,3,Triple-Negative
224,1,EGFR
225,2,KRAS
226,2,KRAS
227,3,Triple-Negative
228,1,EGFR
229,3,Triple-Negative
230,0,ALK
231,1,EGFR
232,1,EGFR
233,3,Triple-Negative
234,2,KRAS
235,1,EGFR
236,1,EGFR
237,1,EGFR
238,0,ALK
239,1,EGFR
240,2,KRAS
241,2,KRAS
242,1,EGFR
243,1,EGFR
244,2,KRAS
245,2,KRAS
246,2,KRAS
247,2,KRAS
248,2,KRAS
249,1,EGFR
250,2,KRAS
251,1,EGFR
252,3,Triple-Negative
253,2,KRAS
254,1,EGFR
255,1,EGFR
256,0,ALK
257,1,EGFR
258,2,KRAS
259,3,Triple-Negative
260,1,EGFR
261,1,EGFR
262,2,KRAS
263,1,EGFR
264,1,EGFR
265,2,KRAS
266,1,EGFR
267,1,EGFR
268,1,EGFR
269,3,Triple-Negative
270,1,EGFR
271,1,EGFR
272,3,Triple-Negative
273,1,EGFR
274,1,EGFR
275,2,KRAS
276,1,EGFR
277,2,KRAS
278,2,KRAS
279,2,KRAS
280,3,Triple-Negative
281,2,KRAS
282,2,KRAS
283,1,EGFR
284,2,KRAS
285,2,KRAS
286,3,Triple-Negative
287,2,KRAS
288,2,KRAS
289,2,KRAS
290,2,KRAS
291,3,Triple-Negative
292,1,EGFR
293,2,KRAS
294,1,EGFR
295,1,EGFR
296,2,KRAS
297,1,EGFR
298,3,Triple-Negative
299,2,KRAS
300,2,KRAS
301,1,EGFR
302,0,ALK
303,2,KRAS
304,1,EGFR
305,1,EGFR
306,1,EGFR
307,1,EGFR
308,2,KRAS
309,1,EGFR
310,1,EGFR
311,2,KRAS
312,1,EGFR
313,3,Triple-Negative
314,2,KRAS
315,1,EGFR
316,1,EGFR
317,1,EGFR
318,0,ALK
319,3,Triple-Negative
320,1,EGFR
321,2,KRAS
322,1,EGFR
323,2,KRAS
324,1,EGFR
325,2,KRAS
326,1,EGFR
327,0,ALK
328,2,KRAS
329,1,EGFR
330,3,Triple-Negative
331,2,KRAS
332,1,EGFR
333,1,EGFR
334,2,KRAS
335,1,EGFR
336,1,EGFR
337,1,EGFR
338,1,EGFR
339,2,KRAS
340,3,Triple-Negative
341,2,KRAS
342,1,EGFR
343,1,EGFR
344,2,KRAS
345,1,EGFR
346,1,EGFR
347,3,Triple-Negative
348,3,Triple-Negative
349,1,EGFR
350,3,Triple-Negative
351,1,EGFR
352,1,EGFR
353,2,KRAS
354,3,Triple-Negative
355,1,EGFR
356,3,Triple-Negative
357,1,EGFR
358,2,KRAS
359,1,EGFR
360,3,Triple-Negative
361,0,ALK
362,2,KRAS
363,1,EGFR
364,1,EGFR
365,3,Triple-Negative
366,2,KRAS
367,2,KRAS
368,2,KRAS
369,2,KRAS
370,0,ALK
371,2,KRAS
372,1,EGFR
373,1,EGFR
374,3,Triple-Negative
375,1,EGFR
376,2,KRAS
377,1,EGFR
378,1,EGFR
379,1,EGFR
380,2,KRAS
381,1,EGFR
382,1,EGFR
383,2,KRAS
384,1,EGFR
385,2,KRAS
386,1,EGFR
387,3,Triple-Negative
388,0,ALK
389,2,KRAS
390,1,EGFR
391,2,KRAS
392,2,KRAS
393,1,EGFR
394,2,KRAS
395,1,EGFR
396,3,Triple-Negative
397,3,Triple-Negative
398,3,Triple-Negative
399,2,KRAS
400,2,KRAS
401,1,EGFR
402,3,Triple-Negative
403,1,EGFR
404,1,EGFR
405,1,EGFR
406,1,EGFR
407,1,EGFR
408,1,EGFR
409,3,Triple-Negative
410,3,Triple-Negative
411,1,EGFR
412,1,EGFR
413,2,KRAS
414,2,KRAS
415,2,KRAS
416,3,Triple-Negative
417,3,Triple-Negative
418,3,Triple-Negative
419,1,EGFR
420,1,EGFR
421,2,KRAS
422,1,EGFR
423,2,KRAS
424,2,KRAS
425,2,KRAS
426,1,EGFR
427,2,KRAS
428,1,EGFR
429,3,Triple-Negative
430,3,Triple-Negative
431,1,EGFR
432,2,KRAS
433,1,EGFR
434,1,EGFR
435,0,ALK
436,2,KRAS
437,2,KRAS
438,2,KRAS
439,2,KRAS
440,1,EGFR
441,3,Triple-Negative
442,1,EGFR
443,1,EGFR
444,1,EGFR
445,1,EGFR
446,2,KRAS
447,1,EGFR
448,3,Triple-Negative
449,1,EGFR
450,3,Triple-Negative
451,2,KRAS
452,2,KRAS
453,3,Triple-Negative
454,1,EGFR
455,0,ALK
456,2,KRAS
457,3,Triple-Negative
458,3,Triple-Negative
459,2,KRAS
460,2,KRAS
461,2,KRAS
462,1,EGFR
463,1,EGFR
464,1,EGFR
465,2,KRAS
466,1,EGFR
467,1,EGFR
468,0,ALK
469,1,EGFR
470,1,EGFR
471,3,Triple-Negative
472,1,EGFR
473,2,KRAS
474,0,ALK
475,2,KRAS
476,1,EGFR
477,3,Triple-Negative
478,1,EGFR
479,1,EGFR
480,2,KRAS
481,0,ALK
482,2,KRAS
483,2,KRAS
484,1,EGFR
485,1,EGFR
486,2,KRAS
487,1,EGFR
488,3,Triple-Negative
489,1,EGFR
490,1,EGFR
491,2,KRAS
492,2,KRAS
493,1,EGFR
494,2,KRAS
495,1,EGFR
496,2,KRAS
497,1,EGFR
498,3,Triple-Negative
499,1,EGFR
500,1,EGFR
501,2,KRAS
502,1,EGFR
503,1,EGFR
504,2,KRAS
505,2,KRAS
506,1,EGFR
507,2,KRAS
508,3,Triple-Negative
509,0,ALK
510,3,Triple-Negative
511,0,ALK
512,1,EGFR
513,1,EGFR
514,1,EGFR
515,1,EGFR
516,1,EGFR
517,0,ALK
518,0,ALK
519,2,KRAS
520,1,EGFR
521,1,EGFR
522,0,ALK
523,1,EGFR
524,1,EGFR
525,2,KRAS
526,1,EGFR
527,1,EGFR
528,3,Triple-Negative
529,3,Triple-Negative
530,1,EGFR
531,2,KRAS
532,1,EGFR
533,1,EGFR
534,1,EGFR
535,3,Triple-Negative
536,2,KRAS
537,1,EGFR
538,1,EGFR
539,1,EGFR
540,2,KRAS
541,1,EGFR
542,2,KRAS
543,1,EGFR
544,2,KRAS
545,0,ALK
546,1,EGFR
547,1,EGFR
548,1,EGFR
549,1,EGFR
550,3,Triple-Negative
551,1,EGFR
552,3,Triple-Negative
553,2,KRAS
554,1,EGFR
555,2,KRAS
556,3,Triple-Negative
557,3,Triple-Negative
558,0,ALK
559,2,KRAS
560,1,EGFR
561,1,EGFR
562,1,EGFR
563,2,KRAS
564,1,EGFR
565,0,ALK
566,1,EGFR
567,2,KRAS
568,2,KRAS
569,1,EGFR
570,1,EGFR
571,1,EGFR
572,1,EGFR
573,3,Triple-Negative
574,2,KRAS
575,3,Triple-Negative
576,2,KRAS
577,1,EGFR
578,0,ALK
579,1,EGFR
580,3,Triple-Negative
581,2,KRAS
582,2,KRAS
583,2,KRAS
584,1,EGFR
585,1,EGFR
586,2,KRAS
587,2,KRAS
588,1,EGFR
589,3,Triple-Negative
590,1,EGFR
591,1,EGFR
592,1,EGFR
593,3,Triple-Negative
594,2,KRAS
595,3,Triple-Negative
596,3,Triple-Negative
597,3,Triple-Negative
598,3,Triple-Negative
599,2,KRAS
600,0,ALK
601,3,Triple-Negative
602,0,ALK
603,1,EGFR
604,2,KRAS
605,1,EGFR
606,1,EGFR
607,2,KRAS
608,2,KRAS
609,1,EGFR
610,1,EGFR
611,1,EGFR
612,1,EGFR
613,0,ALK
614,1,EGFR
615,0,ALK
616,3,Triple-Negative
617,2,KRAS
618,2,KRAS
619,3,Triple-Negative
620,0,ALK
621,2,KRAS
622,0,ALK
623,1,EGFR
624,1,EGFR
625,3,Triple-Negative
626,1,EGFR
627,1,EGFR
628,2,KRAS
629,3,Triple-Negative
630,2,KRAS
631,2,KRAS
632,1,EGFR
633,2,KRAS
634,1,EGFR
635,1,EGFR
636,2,KRAS
637,2,KRAS
638,2,KRAS
639,0,ALK
640,1,EGFR
641,1,EGFR
642,0,ALK
643,2,KRAS
644,3,Triple-Negative
645,0,ALK
646,1,EGFR
647,1,EGFR
648,2,KRAS
649,3,Triple-Negative
650,1,EGFR
651,1,EGFR
652,3,Triple-Negative
653,1,EGFR
654,2,KRAS
655,2,KRAS
656,2,KRAS
657,0,ALK
658,1,EGFR
659,2,KRAS
660,2,KRAS
661,1,EGFR
662,1,EGFR
663,2,KRAS
664,2,KRAS
665,2,KRAS
666,1,EGFR
667,2,KRAS
668,3,Triple-Negative
669,2,KRAS
670,2,KRAS
671,3,Triple-Negative
672,3,Triple-Negative
673,1,EGFR
674,1,EGFR
675,2,KRAS
676,2,KRAS
677,1,EGFR
678,3,Triple-Negative
679,1,EGFR
680,3,Triple-Negative
681,1,EGFR
682,1,EGFR
683,1,EGFR
684,1,EGFR
685,1,EGFR
686,1,EGFR
687,1,EGFR
688,3,Triple-Negative
689,2,KRAS
690,1,EGFR
691,2,KRAS
692,1,EGFR
693,1,EGFR
694,1,EGFR
695,2,KRAS
696,1,EGFR
697,1,EGFR
698,1,EGFR
699,1,EGFR
700,0,ALK
701,3,Triple-Negative
702,2,KRAS
703,2,KRAS
704,1,EGFR
705,1,EGFR
706,2,KRAS
707,1,EGFR
708,1,EGFR
709,2,KRAS
710,3,Triple-Negative
711,1,EGFR
712,1,EGFR
713,2,KRAS
714,2,KRAS
715,1,EGFR
716,0,ALK
717,1,EGFR
718,1,EGFR
719,2,KRAS
720,2,KRAS
721,1,EGFR
722,0,ALK
723,2,KRAS
724,0,ALK
725,2,KRAS
726,2,KRAS
727,1,EGFR
728,1,EGFR
729,2,KRAS
730,2,KRAS
731,2,KRAS
732,2,KRAS
733,2,KRAS
734,3,Triple-Negative
735,2,KRAS
736,1,EGFR
737,1,EGFR
738,2,KRAS
739,1,EGFR
740,1,EGFR
741,2,KRAS
742,1,EGFR
743,1,EGFR
744,2,KRAS
745,2,KRAS
746,1,EGFR
747,2,KRAS
748,1,EGFR
749,1,EGFR
750,1,EGFR
751,2,KRAS
752,2,KRAS
753,1,EGFR
754,2,KRAS
755,1,EGFR
756,1,EGFR
757,1,EGFR
758,2,KRAS
759,1,EGFR
760,2,KRAS
761,1,EGFR
762,2,KRAS
763,2,KRAS
764,3,Triple-Negative
765,2,KRAS
766,1,EGFR
767,2,KRAS
768,1,EGFR
769,1,EGFR
770,2,KRAS
771,1,EGFR
772,3,Triple-Negative
773,1,EGFR
774,1,EGFR
775,2,KRAS
776,1,EGFR
777,1,EGFR
778,0,ALK
779,1,EGFR
780,2,KRAS
781,3,Triple-Negative
782,2,KRAS
783,1,EGFR
784,1,EGFR
785,1,EGFR
786,1,EGFR
787,1,EGFR
788,2,KRAS
789,1,EGFR
790,0,ALK
791,3,Triple-Negative
792,2,KRAS
793,2,KRAS
794,2,KRAS
795,2,KRAS
796,2,KRAS
797,2,KRAS
798,2,KRAS
799,1,EGFR
800,1,EGFR
801,3,Triple-Negative
802,2,KRAS
803,2,KRAS
804,3,Triple-Negative
805,2,KRAS
806,3,Triple-Negative
807,3,Triple-Negative
808,1,EGFR
809,2,KRAS
810,2,KRAS
811,2,KRAS
812,1,EGFR
813,1,EGFR
814,1,EGFR
815,1,EGFR
816,2,KRAS
817,2,KRAS
818,1,EGFR
819,1,EGFR
820,2,KRAS
821,2,KRAS
822,1,EGFR
823,2,KRAS
824,1,EGFR
825,2,KRAS
826,2,KRAS
827,1,EGFR
828,0,ALK
829,2,KRAS
830,1,EGFR
831,1,EGFR
832,1,EGFR
833,1,EGFR
834,1,EGFR
835,1,EGFR
836,2,KRAS
837,1,EGFR
838,3,Triple-Negative
839,1,EGFR
840,1,EGFR
841,3,Triple-Negative
842,1,EGFR
843,1,EGFR
844,3,Triple-Negative
845,1,EGFR
846,2,KRAS
847,1,EGFR
848,1,EGFR
849,1,EGFR
850,3,Triple-Negative
851,2,KRAS
852,2,KRAS
853,3,Triple-Negative
854,2,KRAS
855,2,KRAS
856,2,KRAS
857,1,EGFR
858,1,EGFR
859,1,EGFR
860,1,EGFR
861,1,EGFR
862,1,EGFR
863,0,ALK
864,1,EGFR
865,1,EGFR
866,2,KRAS
867,2,KRAS
868,0,ALK
869,2,KRAS
870,2,KRAS
871,2,KRAS
872,3,Triple-Negative
873,2,KRAS
874,2,KRAS
875,1,EGFR
876,2,KRAS
877,1,EGFR
878,0,ALK
879,2,KRAS
880,3,Triple-Negative
881,1,EGFR
882,1,EGFR
883,1,EGFR
884,1,EGFR
885,1,EGFR
886,0,ALK
887,0,ALK
888,2,KRAS
889,1,EGFR
890,1,EGFR
891,1,EGFR
892,1,EGFR
893,1,EGFR
894,3,Triple-Negative
895,1,EGFR
896,2,KRAS
897,1,EGFR
898,1,EGFR
899,1,EGFR
900,2,KRAS
901,3,Triple-Negative
902,1,EGFR
903,1,EGFR
904,1,EGFR
905,1,EGFR
906,2,KRAS
907,1,EGFR
908,1,EGFR
909,1,EGFR
910,1,EGFR
911,1,EGFR
912,2,KRAS
913,1,EGFR
914,1,EGFR
915,1,EGFR
916,2,KRAS
917,2,KRAS
918,2,KRAS
919,1,EGFR
920,2,KRAS
921,1,EGFR
922,2,KRAS
923,0,ALK
924,3,Triple-Negative
925,1,EGFR
926,0,ALK
927,1,EGFR
928,2,KRAS
929,2,KRAS
930,1,EGFR
931,1,EGFR
932,1,EGFR
933,2,KRAS
934,3,Triple-Negative
935,2,KRAS
936,2,KRAS
937,1,EGFR
938,2,KRAS
939,0,ALK
940,1,EGFR
941,3,Triple-Negative
942,2,KRAS
943,2,KRAS
944,1,EGFR
945,3,Triple-Negative
946,2,KRAS
947,2,KRAS
948,2,KRAS
949,2,KRAS
950,2,KRAS
951,1,EGFR
952,2,KRAS
953,1,EGFR
954,1,EGFR
955,2,KRAS
956,3,Triple-Negative
957,3,Triple-Negative
958,1,EGFR
959,2,KRAS
960,2,KRAS
961,1,EGFR
962,1,EGFR
963,3,Triple-Negative
964,1,EGFR
965,1,EGFR
966,2,KRAS
967,1,EGFR
968,1,EGFR
969,2,KRAS
970,2,KRAS
971,3,Triple-Negative
972,2,KRAS
973,1,EGFR
974,0,ALK
975,1,EGFR
976,3,Triple-Negative
977,1,EGFR
978,1,EGFR
979,3,Triple-Negative
980,3,Triple-Negative
981,1,EGFR
982,1,EGFR
983,2,KRAS
984,2,KRAS
985,2,KRAS
986,1,EGFR
987,1,EGFR
988,2,KRAS
989,1,EGFR
990,1,EGFR
991,1,EGFR
992,3,Triple-Negative
993,1,EGFR
994,0,ALK
995,1,EGFR
996,1,EGFR
997,2,KRAS
998,2,KRAS
999,1,EGFR
1000,3,Triple-Negative
1001,0,ALK
1002,1,EGFR
1003,2,KRAS
1004,1,EGFR
1005,2,KRAS
1006,2,KRAS
1007,1,EGFR
1008,1,EGFR
1009,3,Triple-Negative
1010,2,KRAS
1011,2,KRAS
1012,2,KRAS
1013,2,KRAS
1014,3,Triple-Negative
1015,1,EGFR
1016,1,EGFR
1017,1,EGFR
1018,1,EGFR
1019,2,KRAS
1020,2,KRAS
1021,2,KRAS
1022,1,EGFR
1023,1,EGFR
1024,3,Triple-Negative
1025,1,EGFR
1026,2,KRAS
1027,3,Triple-Negative
1028,2,KRAS
1029,3,Triple-Negative
1030,1,EGFR
1031,2,KRAS
1032,1,EGFR
1033,2,KRAS
1034,1,EGFR
1035,1,EGFR
1036,1,EGFR
1037,0,ALK
1038,3,Triple-Negative
1039,3,Triple-Negative
1040,2,KRAS
1041,1,EGFR
1042,1,EGFR
1043,1,EGFR
1044,1,EGFR
1045,1,EGFR
1046,2,KRAS
1047,2,KRAS
1048,1,EGFR
1049,3,Triple-Negative
1050,3,Triple-Negative
1051,2,KRAS
1052,2,KRAS
1053,2,KRAS
1054,0,ALK
1055,1,EGFR
1056,1,EGFR
1057,2,KRAS
1058,1,EGFR
1059,3,Triple-Negative
1060,2,KRAS
1061,1,EGFR
1062,2,KRAS
1063,2,KRAS
1064,2,KRAS
1065,2,KRAS
1066,1,EGFR
1067,2,KRAS
1068,2,KRAS
1069,1,EGFR
1070,2,KRAS
1071,1,EGFR
1072,1,EGFR
1073,0,ALK
1074,2,KRAS
1075,1,EGFR
1076,1,EGFR
1077,1,EGFR
1078,1,EGFR
1079,1,EGFR
1080,1,EGFR
1081,1,EGFR
1082,0,ALK
1083,2,KRAS
1084,1,EGFR
1085,2,KRAS
1086,3,Triple-Negative
1087,1,EGFR
1088,2,KRAS
1089,3,Triple-Negative
1090,2,KRAS
1091,1,EGFR
1092,2,KRAS
1093,3,Triple-Negative
1094,1,EGFR
1095,2,KRAS
1096,2,KRAS
1097,3,Triple-Negative
1098,1,EGFR
1099,1,EGFR
1100,2,KRAS
1101,1,EGFR
1102,0,ALK
1103,2,KRAS
1104,3,Triple-Negative
1105,2,KRAS
1106,2,KRAS
1107,1,EGFR
1108,1,EGFR
1109,1,EGFR
1110,1,EGFR
1111,1,EGFR
1112,2,KRAS
1113,1,EGFR
1114,2,KRAS
1115,3,Triple-Negative
1116,3,Triple-Negative
1117,1,EGFR
1118,1,EGFR
1119,2,KRAS
1120,2,KRAS
1121,2,KRAS
1122,3,Triple-Negative
1123,1,EGFR
1124,1,EGFR
1125,1,EGFR
1126,3,Triple-Negative
1127,2,KRAS
1128,1,EGFR
1129,1,EGFR
1130,1,EGFR
1131,2,KRAS
1132,1,EGFR
1133,2,KRAS
1134,2,KRAS
1135,1,EGFR
1136,3,Triple-Negative
1137,3,Triple-Negative
1138,3,Triple-Negative
1139,2,KRAS
1140,2,KRAS
1141,1,EGFR
1142,1,EGFR
1143,0,ALK
1144,1,EGFR
1145,2,KRAS
1146,1,EGFR
1147,2,KRAS
1148,2,KRAS
1149,2,KRAS
1150,1,EGFR
1151,2,KRAS
1152,3,Triple-Negative
1153,1,EGFR
1154,3,Triple-Negative
1155,3,Triple-Negative
1156,1,EGFR
1157,1,EGFR
1158,2,KRAS
1159,0,ALK
1160,1,EGFR
1161,2,KRAS
1162,1,EGFR
1163,2,KRAS
1164,2,KRAS
1165,2,KRAS
1166,1,EGFR
1167,1,EGFR
1168,2,KRAS
1169,1,EGFR
1170,2,KRAS
1171,1,EGFR
1172,1,EGFR
1173,0,ALK
1174,3,Triple-Negative
1175,2,KRAS
1176,2,KRAS
1177,0,ALK
1178,2,KRAS
1179,1,EGFR
1180,1,EGFR
1181,1,EGFR
1182,2,KRAS
1183,2,KRAS
1184,1,EGFR
1185,1,EGFR
1186,2,KRAS
1187,1,EGFR
1188,1,EGFR
1189,2,KRAS
1190,1,EGFR
1191,2,KRAS
1192,1,EGFR
1193,1,EGFR
1194,3,Triple-Negative
1195,1,EGFR
1196,3,Triple-Negative
1197,1,EGFR
1198,2,KRAS
1199,3,Triple-Negative
1200,1,EGFR
1201,1,EGFR
1202,1,EGFR
1203,2,KRAS
1204,2,KRAS
1205,3,Triple-Negative
1206,1,EGFR
1207,2,KRAS
1208,3,Triple-Negative
1209,1,EGFR
1210,1,EGFR
1211,2,KRAS
1212,3,Triple-Negative
1213,3,Triple-Negative
1214,1,EGFR
1215,2,KRAS
1216,2,KRAS
1217,1,EGFR
1218,0,ALK
1219,1,EGFR
1220,2,KRAS
1221,2,KRAS
1222,3,Triple-Negative
1223,1,EGFR
1224,2,KRAS
1225,2,KRAS
1226,2,KRAS
1227,2,KRAS
1228,2,KRAS
1229,3,Triple-Negative
1230,1,EGFR
1231,1,EGFR
1232,1,EGFR
1233,2,KRAS
1234,2,KRAS
1235,2,KRAS
1236,2,KRAS
1237,1,EGFR
1238,3,Triple-Negative
1239,3,Triple-Negative
1240,3,Triple-Negative
1241,2,KRAS
1242,1,EGFR
1243,3,Triple-Negative
1244,3,Triple-Negative
1245,2,KRAS
1246,1,EGFR
1247,3,Triple-Negative
1248,0,ALK
1249,3,Triple-Negative
1250,3,Triple-Negative
1251,3,Triple-Negative
1252,2,KRAS
1253,2,KRAS
1254,2,KRAS
1255,1,EGFR
1256,1,EGFR
1257,1,EGFR
1258,2,KRAS
1259,2,KRAS
1260,1,EGFR
1261,2,KRAS
1262,2,KRAS
1263,1,EGFR
1264,2,KRAS
1265,2,KRAS
1266,1,EGFR
1267,1,EGFR
1268,0,ALK
1269,3,Triple-Negative
1270,2,KRAS
1271,3,Triple-Negative
1272,0,ALK
1273,1,EGFR
1274,1,EGFR
1275,2,KRAS
1276,1,EGFR
1277,1,EGFR
1278,1,EGFR
1279,3,Triple-Negative
1280,1,EGFR
1281,2,KRAS
1282,2,KRAS
1283,1,EGFR
1284,1,EGFR
1285,2,KRAS
1286,2,KRAS
1287,2,KRAS
1288,2,KRAS
1289,2,KRAS
1290,1,EGFR
1291,3,Triple-Negative
1292,1,EGFR
1293,1,EGFR
1294,1,EGFR
1295,3,Triple-Negative
1296,2,KRAS
1297,3,Triple-Negative
1298,1,EGFR
1299,3,Triple-Negative
1300,1,EGFR
1301,1,EGFR
1302,2,KRAS
1303,1,EGFR
1304,2,KRAS
1305,3,Triple-Negative
1306,0,ALK
1307,1,EGFR
1308,2,KRAS
1309,2,KRAS
1310,2,KRAS
1311,2,KRAS
1312,1,EGFR
1313,2,KRAS
1314,3,Triple-Negative
1315,1,EGFR
1316,1,EGFR
1317,1,EGFR
1318,1,EGFR
1319,1,EGFR
1320,1,EGFR
1321,1,EGFR
1322,2,KRAS
1323,1,EGFR
1324,1,EGFR
1325,1,EGFR
1326,1,EGFR
1327,1,EGFR
1328,1,EGFR
1329,2,KRAS
1330,3,Triple-Negative
1331,1,EGFR
1332,3,Triple-Negative
1333,2,KRAS
1334,2,KRAS
1335,1,EGFR
1336,1,EGFR
1337,1,EGFR
1338,1,EGFR
1339,3,Triple-Negative
1340,3,Triple-Negative
1341,2,KRAS
1342,3,Triple-Negative
1343,1,EGFR
1344,1,EGFR
1345,2,KRAS
1346,2,KRAS
1347,1,EGFR
1348,1,EGFR
1349,1,EGFR
1350,2,KRAS
1351,2,KRAS
1352,3,Triple-Negative
1353,1,EGFR
1354,1,EGFR
1355,2,KRAS
1356,1,EGFR
1357,3,Triple-Negative
1358,2,KRAS
1359,1,EGFR
1360,1,EGFR
1361,1,EGFR
1362,1,EGFR
1363,2,KRAS
1364,2,KRAS
1365,0,ALK
1366,2,KRAS
1367,2,KRAS
1368,1,EGFR
1369,1,EGFR
1370,3,Triple-Negative
1371,1,EGFR
1372,3,Triple-Negative
1373,3,Triple-Negative
1374,2,KRAS
1375,2,KRAS
1376,0,ALK
1377,3,Triple-Negative
1378,1,EGFR
1379,3,Triple-Negative
1380,2,KRAS
1381,2,KRAS
1382,1,EGFR
1383,3,Triple-Negative
1384,1,EGFR
1385,1,EGFR
1386,1,EGFR
1387,3,Triple-Negative
1388,3,Triple-Negative
1389,1,EGFR
1390,2,KRAS
1391,2,KRAS
1392,1,EGFR
1393,1,EGFR
1394,2,KRAS
1395,2,KRAS
1396,3,Triple-Negative
1397,1,EGFR
1398,1,EGFR
1399,0,ALK
1400,2,KRAS
1401,1,EGFR
1402,3,Triple-Negative
1403,1,EGFR
1404,1,EGFR
1405,2,KRAS
1406,1,EGFR
1407,1,EGFR
1408,3,Triple-Negative
1409,1,EGFR
1410,0,ALK
1411,2,KRAS
1412,1,EGFR
1413,1,EGFR
1414,1,EGFR
1415,1,EGFR
1416,1,EGFR
1417,0,ALK
1418,2,KRAS
1419,2,KRAS
1420,1,EGFR
1421,1,EGFR
1422,3,Triple-Negative
1423,1,EGFR
1424,1,EGFR
1425,2,KRAS
1426,2,KRAS
1427,1,EGFR
1428,1,EGFR
1429,1,EGFR
1430,2,KRAS
1431,3,Triple-Negative
1432,2,KRAS
1433,2,KRAS
1434,2,KRAS
1435,3,Triple-Negative
1436,1,EGFR
1437,1,EGFR
